x	y = x^2	y = x
0.000000	0.000000	0.000000
0.001000	0.000001	0.001000
0.002000	0.000004	0.002000
0.003000	0.000009	0.003000
0.004000	0.000016	0.004000
0.005000	0.000025	0.005000
0.006000	0.000036	0.006000
0.007000	0.000049	0.007000
0.008000	0.000064	0.008000
0.009000	0.000081	0.009000
0.010000	0.000100	0.010000
0.011000	0.000121	0.011000
0.012000	0.000144	0.012000
0.013000	0.000169	0.013000
0.014000	0.000196	0.014000
0.015000	0.000225	0.015000
0.016000	0.000256	0.016000
0.017000	0.000289	0.017000
0.018000	0.000324	0.018000
0.019000	0.000361	0.019000
0.020000	0.000400	0.020000
0.021000	0.000441	0.021000
0.022000	0.000484	0.022000
0.023000	0.000529	0.023000
0.024000	0.000576	0.024000
0.025000	0.000625	0.025000
0.026000	0.000676	0.026000
0.027000	0.000729	0.027000
0.028000	0.000784	0.028000
0.029000	0.000841	0.029000
0.030000	0.000900	0.030000
0.031000	0.000961	0.031000
0.032000	0.001024	0.032000
0.033000	0.001089	0.033000
0.034000	0.001156	0.034000
0.035000	0.001225	0.035000
0.036000	0.001296	0.036000
0.037000	0.001369	0.037000
0.038000	0.001444	0.038000
0.039000	0.001521	0.039000
0.040000	0.001600	0.040000
0.041000	0.001681	0.041000
0.042000	0.001764	0.042000
0.043000	0.001849	0.043000
0.044000	0.001936	0.044000
0.045000	0.002025	0.045000
0.046000	0.002116	0.046000
0.047000	0.002209	0.047000
0.048000	0.002304	0.048000
0.049000	0.002401	0.049000
0.050000	0.002500	0.050000
0.051000	0.002601	0.051000
0.052000	0.002704	0.052000
0.053000	0.002809	0.053000
0.054000	0.002916	0.054000
0.055000	0.003025	0.055000
0.056000	0.003136	0.056000
0.057000	0.003249	0.057000
0.058000	0.003364	0.058000
0.059000	0.003481	0.059000
0.060000	0.003600	0.060000
0.061000	0.003721	0.061000
0.062000	0.003844	0.062000
0.063000	0.003969	0.063000
0.064000	0.004096	0.064000
0.065000	0.004225	0.065000
0.066000	0.004356	0.066000
0.067000	0.004489	0.067000
0.068000	0.004624	0.068000
0.069000	0.004761	0.069000
0.070000	0.004900	0.070000
0.071000	0.005041	0.071000
0.072000	0.005184	0.072000
0.073000	0.005329	0.073000
0.074000	0.005476	0.074000
0.075000	0.005625	0.075000
0.076000	0.005776	0.076000
0.077000	0.005929	0.077000
0.078000	0.006084	0.078000
0.079000	0.006241	0.079000
0.080000	0.006400	0.080000
0.081000	0.006561	0.081000
0.082000	0.006724	0.082000
0.083000	0.006889	0.083000
0.084000	0.007056	0.084000
0.085000	0.007225	0.085000
0.086000	0.007396	0.086000
0.087000	0.007569	0.087000
0.088000	0.007744	0.088000
0.089000	0.007921	0.089000
0.090000	0.008100	0.090000
0.091000	0.008281	0.091000
0.092000	0.008464	0.092000
0.093000	0.008649	0.093000
0.094000	0.008836	0.094000
0.095000	0.009025	0.095000
0.096000	0.009216	0.096000
0.097000	0.009409	0.097000
0.098000	0.009604	0.098000
0.099000	0.009801	0.099000
0.100000	0.010000	0.100000
0.101000	0.010201	0.101000
0.102000	0.010404	0.102000
0.103000	0.010609	0.103000
0.104000	0.010816	0.104000
0.105000	0.011025	0.105000
0.106000	0.011236	0.106000
0.107000	0.011449	0.107000
0.108000	0.011664	0.108000
0.109000	0.011881	0.109000
0.110000	0.012100	0.110000
0.111000	0.012321	0.111000
0.112000	0.012544	0.112000
0.113000	0.012769	0.113000
0.114000	0.012996	0.114000
0.115000	0.013225	0.115000
0.116000	0.013456	0.116000
0.117000	0.013689	0.117000
0.118000	0.013924	0.118000
0.119000	0.014161	0.119000
0.120000	0.014400	0.120000
0.121000	0.014641	0.121000
0.122000	0.014884	0.122000
0.123000	0.015129	0.123000
0.124000	0.015376	0.124000
0.125000	0.015625	0.125000
0.126000	0.015876	0.126000
0.127000	0.016129	0.127000
0.128000	0.016384	0.128000
0.129000	0.016641	0.129000
0.130000	0.016900	0.130000
0.131000	0.017161	0.131000
0.132000	0.017424	0.132000
0.133000	0.017689	0.133000
0.134000	0.017956	0.134000
0.135000	0.018225	0.135000
0.136000	0.018496	0.136000
0.137000	0.018769	0.137000
0.138000	0.019044	0.138000
0.139000	0.019321	0.139000
0.140000	0.019600	0.140000
0.141000	0.019881	0.141000
0.142000	0.020164	0.142000
0.143000	0.020449	0.143000
0.144000	0.020736	0.144000
0.145000	0.021025	0.145000
0.146000	0.021316	0.146000
0.147000	0.021609	0.147000
0.148000	0.021904	0.148000
0.149000	0.022201	0.149000
0.150000	0.022500	0.150000
0.151000	0.022801	0.151000
0.152000	0.023104	0.152000
0.153000	0.023409	0.153000
0.154000	0.023716	0.154000
0.155000	0.024025	0.155000
0.156000	0.024336	0.156000
0.157000	0.024649	0.157000
0.158000	0.024964	0.158000
0.159000	0.025281	0.159000
0.160000	0.025600	0.160000
0.161000	0.025921	0.161000
0.162000	0.026244	0.162000
0.163000	0.026569	0.163000
0.164000	0.026896	0.164000
0.165000	0.027225	0.165000
